Date,Name,Year,Letterboxd URI
2021-11-24,Dune,2021,https://boxd.it/fA7G
2021-11-24,Red Notice,2021,https://boxd.it/ixtq
2021-11-24,Parasite,2019,https://boxd.it/hTha
2021-11-24,Titane,2021,https://boxd.it/nlQC
2021-11-24,Joker,2019,https://boxd.it/h4cS
2021-11-24,Perfect Blue,1997,https://boxd.it/1W7A
2021-11-24,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2021-11-24,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2021-11-24,La La Land,2016,https://boxd.it/a5fa
2021-11-24,Gone Girl,2014,https://boxd.it/6hQu
2021-11-24,Whiplash,2014,https://boxd.it/7bQA
2021-11-24,Bohemian Rhapsody,2018,https://boxd.it/f1TK
2021-11-24,The Breakfast Club,1985,https://boxd.it/27q4
2021-11-24,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2021-11-24,The Witch,2015,https://boxd.it/9X0m
2021-11-24,Isle of Dogs,2018,https://boxd.it/dZrW
2021-11-24,Howl's Moving Castle,2004,https://boxd.it/23De
2021-11-24,Suicide Squad,2016,https://boxd.it/9row
2021-11-24,Little Miss Sunshine,2006,https://boxd.it/29EW
2021-11-24,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2021-11-24,Coraline,2009,https://boxd.it/1NhQ
2021-11-24,The Conjuring,2013,https://boxd.it/4sr2
2021-11-24,mid90s,2018,https://boxd.it/fxIa
2021-11-24,Raw,2016,https://boxd.it/dLd2
2021-11-24,Grave of the Fireflies,1988,https://boxd.it/1RUM
2021-11-24,Free Guy,2021,https://boxd.it/k8dm
2021-11-24,Fear Street: 1994,2021,https://boxd.it/lLBk
2021-11-24,Singin' in the Rain,1952,https://boxd.it/29oY
2021-11-24,22 Jump Street,2014,https://boxd.it/5Fvy
2021-11-24,Blue Is the Warmest Color,2013,https://boxd.it/4O40
2021-11-24,The Conjuring: The Devil Made Me Do It,2021,https://boxd.it/eXZY
2021-11-24,Play,2019,https://boxd.it/jYC2
2021-11-25,30 Days Max,2020,https://boxd.it/mFI2
2021-11-25,Compartment No. 6,2021,https://boxd.it/lEty
2021-11-25,Some Like It Rare,2021,https://boxd.it/rpdC
2021-11-25,Bye Bye Morons,2020,https://boxd.it/oekm
2021-11-25,The Evil Dead,1981,https://boxd.it/29Go
2021-11-25,Us,2019,https://boxd.it/gnV6
2021-11-25,OSS 117: From Africa with Love,2021,https://boxd.it/mjce
2021-11-25,Hereditary,2018,https://boxd.it/hNVe
2021-11-25,Mandibles,2020,https://boxd.it/nHDK
2021-11-25,Jojo Rabbit,2019,https://boxd.it/iEBG
2021-11-25,It Chapter Two,2019,https://boxd.it/h10u
2021-11-25,Child's Play 2,1990,https://boxd.it/1Uqq
2021-11-25,Child's Play,1988,https://boxd.it/1VTo
2021-11-25,Child's Play,2019,https://boxd.it/jpX0
2021-11-25,Bride of Chucky,1998,https://boxd.it/1SJU
2021-11-25,Curse of Chucky,2013,https://boxd.it/5b1y
2021-11-25,Seed of Chucky,2004,https://boxd.it/1UgA
2021-11-25,Cult of Chucky,2017,https://boxd.it/dKOm
2021-11-25,Child's Play 3,1991,https://boxd.it/1Uqg
2021-11-26,My Dog Stupid,2019,https://boxd.it/jxHY
2021-11-26,Willy's Wonderland,2021,https://boxd.it/nTcG
2021-11-27,Spiral: From the Book of Saw,2021,https://boxd.it/meXk
2021-11-27,Angèle,2021,https://boxd.it/xI1M
2021-12-04,House of Gucci,2021,https://boxd.it/nVkC
2021-12-08,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw
2021-12-09,Spider-Man,2002,https://boxd.it/2a8i
2021-12-11,Spider-Man 2,2004,https://boxd.it/2a88
2021-12-12,Spider-Man 3,2007,https://boxd.it/2a7Y
2021-12-12,The Amazing Spider-Man,2012,https://boxd.it/27PI
2021-12-12,The Amazing Spider-Man 2,2014,https://boxd.it/3utM
2021-12-14,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2021-12-15,Spider-Man: Far From Home,2019,https://boxd.it/fegG
2021-12-15,Tokyo Godfathers,2003,https://boxd.it/1Qg2
2021-12-16,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2021-12-27,Eighth Grade,2018,https://boxd.it/hDMG
2021-12-27,Bo Burnham: Make Happy,2016,https://boxd.it/e436
2022-01-04,Baby Driver,2017,https://boxd.it/bhF2
2022-01-08,Godzilla vs. Kong,2021,https://boxd.it/e0qK
2022-01-08,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2022-01-10,Night of the Living Dead,1968,https://boxd.it/1WwA
2022-01-10,The Lorax,1972,https://boxd.it/16Rw
2022-01-10,Puparia,2020,https://boxd.it/sNym
2022-01-11,Midsommar,2019,https://boxd.it/jhxe
2022-01-11,A Quiet Place,2018,https://boxd.it/fVJQ
2022-01-12,Licorice Pizza,2021,https://boxd.it/qTKY
2022-01-12,Zodiac,2007,https://boxd.it/27MO
2022-01-14,Atman,1975,https://boxd.it/5n4Y
2022-01-14,Ani*Kuri15: Good Morning,2007,https://boxd.it/fqQc
2022-01-14,The Phantom of Regular Size,1986,https://boxd.it/3AzQ
2022-01-16,Kaamelott: The First Chapter,2021,https://boxd.it/lduY
2022-01-18,The Shining,1980,https://boxd.it/29Nu
2022-01-18,The Truman Show,1998,https://boxd.it/18U8
2022-01-19,The House,2022,https://boxd.it/yVza
2022-01-21,Climax,2018,https://boxd.it/ikvo
2022-01-22,Taxi Driver,1976,https://boxd.it/2b8y
2022-01-22,City Hunter: .357 Magnum,1989,https://boxd.it/14NW
2022-01-27,The Haunting of Hill House,2018,https://boxd.it/kfJ0
2022-01-27,The Haunting of Bly Manor,2020,https://boxd.it/rUdS
2022-01-27,Maniac,2018,https://boxd.it/jX9y
2022-01-28,Squid Game,2021,https://boxd.it/x1OG
2022-01-30,Mali Twist,2021,https://boxd.it/tFxs
2022-01-31,Mother Schmuckers,2021,https://boxd.it/tbma
2022-01-31,Nathalie vous nique tous,2017,https://boxd.it/QN5s
2022-02-01,Tickled,2016,https://boxd.it/cWEG
2022-02-01,The Tickle King,2017,https://boxd.it/fIeA
2022-02-01,Venus,1990,https://boxd.it/8MdC
2022-02-02,Terrible Jungle,2020,https://boxd.it/qZa8
2022-02-03,Whiteout,2019,https://boxd.it/mEDg
2022-02-03,Thunder,1982,https://boxd.it/8yjc
2022-02-03,Tin Toy,1988,https://boxd.it/1P7e
2022-02-05,She's All That,1999,https://boxd.it/1Wz0
2022-02-05,If Anything Happens I Love You,2020,https://boxd.it/qIv4
2022-02-06,Last Night in Soho,2021,https://boxd.it/lbJC
2022-02-12,Love and Leashes,2022,https://boxd.it/szB2
2022-02-12,The Adventures of André and Wally B.,1984,https://boxd.it/1P7I
2022-02-12,Luxo Jr.,1986,https://boxd.it/1P7y
2022-02-12,Red's Dream,1987,https://boxd.it/1P7o
2022-02-12,Knick Knack,1989,https://boxd.it/1P74
2022-02-17,Encanto,2021,https://boxd.it/kPRu
2022-02-17,Geri's Game,1997,https://boxd.it/1P6U
2022-02-17,For the Birds,2000,https://boxd.it/1P6K
2022-02-19,Jackass 3.5,2011,https://boxd.it/2Ak
2022-02-28,Zaï Zaï Zaï Zaï,2020,https://boxd.it/t7xe
2022-03-01,Texas Chainsaw Massacre,2022,https://boxd.it/ns6c
2022-03-02,The Banana Splits Movie,2019,https://boxd.it/mtGy
2022-03-02,The Hug,2018,https://boxd.it/kamK
2022-03-03,The Batman,2022,https://boxd.it/eDGs
