Date,Name,Year,Letterboxd URI,Rating
2025-01-10,Meet the Leroys,2024,https://boxd.it/Ar6Q,2.5
2025-01-10,Memory,2023,https://boxd.it/AZ9O,4
2025-01-10,The Zone of Interest,2023,https://boxd.it/gJsA,4.5
2025-01-10,The Room Next Door,2024,https://boxd.it/Fb4k,2.5
2025-01-10,How to Make a Killing,2024,https://boxd.it/JWI0,2
2025-01-10,Totto-chan: The Little Girl at the Window,2023,https://boxd.it/FSts,4
2025-01-10,Youth (Spring),2023,https://boxd.it/hMzc,4
2025-01-10,The Ant Bully,2006,https://boxd.it/1XyM,2
2025-01-10,Bird,2024,https://boxd.it/GGhm,3.5
2025-01-10,Man in Black,2023,https://boxd.it/G0jU,3
2025-01-10,A Close Shave,1995,https://boxd.it/2aca,4
2025-01-10,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,3
2025-01-10,A Matter of Loaf and Death,2008,https://boxd.it/1O4S,4
2025-01-10,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/z14C,3.5
2025-01-10,The Wrong Trousers,1993,https://boxd.it/2ack,4
2025-01-10,A Grand Day Out,1989,https://boxd.it/2acu,3.5
2025-01-10,I Can't Sleep,1994,https://boxd.it/uu,3
2025-01-10,Firebrand,2023,https://boxd.it/w0SA,3.5
2025-01-10,All of Us Strangers,2023,https://boxd.it/Bz3C,4
2025-01-10,Knit's Island,2023,https://boxd.it/FVze,3.5
2025-01-10,38°5 quai des Orfèvres,2023,https://boxd.it/Acfy,1
2025-01-10,Encounters at the End of the World,2007,https://boxd.it/1SmQ,4
2025-01-10,The Peasants,2023,https://boxd.it/rwWa,3
2025-01-10,My Sunshine,2024,https://boxd.it/Mjfa,3
2025-01-10,"Belphegor, Phantom of the Louvre",2001,https://boxd.it/1bQo,1
2025-01-10,Trap,2024,https://boxd.it/D4nK,2.5
2025-01-10,The Sweet East,2023,https://boxd.it/CcHw,3
2025-01-10,Sidonie in Japan,2023,https://boxd.it/BYbQ,2
2025-01-10,The Fire Within: A Requiem for Katia and Maurice Krafft,2022,https://boxd.it/AUFg,4
2025-01-10,Striking The Palace,2024,https://boxd.it/AWDm,3
2025-01-10,Father,1966,https://boxd.it/WcS,3.5
2025-01-10,Saint-Exupéry,2024,https://boxd.it/DZk4,3.5
2025-01-10,Jim's Story,2024,https://boxd.it/FJla,3.5
2025-01-10,TMNT,2007,https://boxd.it/28Xo,1.5
2025-01-10,Eternal Playground,2024,https://boxd.it/KNLQ,3
2025-01-10,Here,2024,https://boxd.it/zscS,4
2025-01-10,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/vDNs,2.5
2025-01-10,Challengers,2024,https://boxd.it/zld0,4
2025-01-10,Holy Cow,2024,https://boxd.it/EPbI,3.5
2025-01-10,Being Blanche Houellebecq,2024,https://boxd.it/DvCC,3
2025-01-10,Queens of Drama,2024,https://boxd.it/BQQQ,4
2025-01-10,Elektra,2005,https://boxd.it/1XsE,0.5
2025-01-10,Enough is Enough!,2024,https://boxd.it/HklI,3
2025-01-10,Limonov: The Ballad,2024,https://boxd.it/hQXC,3.5
2025-01-10,Wicked,2024,https://boxd.it/e8ME,2.5
2025-01-10,Ghost Cat Anzu,2024,https://boxd.it/CYvI,3
2025-01-10,Casshern,2004,https://boxd.it/1TiK,1.5
2025-01-10,I Saw the TV Glow,2024,https://boxd.it/woVe,2.5
2025-01-10,Mononoke the Movie: The Phantom in the Rain,2024,https://boxd.it/BoNE,3.5
