name,rating-paf,rating-bryvan,rating-beranger,popularity
Spider-Man: Brand New Day,2.5,,,1065.0058
The Odyssey,3.5,2.5,,862.2605
Spider-Man: No Way Home,3.5,1.5,,634.4715
Minions & Monsters,3.5,,,344.0984
Obsession,3.5,3.5,,293.7814
Toy Story 5,4.5,3,,276.347
Evil Dead Burn,4,,,271.5888
Disclosure Day,2,3,,227.7825
Moana,4.5,1.5,,216.2841
Spider-Man: Homecoming,3.5,3,,210.6267
Backrooms,4,,,162.347
Scary Movie,2,,,161.8298
Spider-Man,4,2.5,,161.4304
Project Hail Mary,4,4,,138.522
Spider-Man: Far From Home,2.5,2.5,,109.2243
The Invite,2.5,,,100.8765
The Amazing Spider-Man,3.5,,,99.0154
Michael,1.5,,,92.8659
Avengers: Infinity War,4,3.5,,92.3035
Zootopia 2,2.5,3,,85.4169
The Amazing Spider-Man 2,4,,,83.2844
The Avengers,4.5,3.5,,82.2066
Zootopia+,,3,,81.0202
Avatar: Fire and Ash,2.5,3.5,,80.8103
Spider-Man 3,4.5,2.5,,79.212
The Super Mario Galaxy Movie,3,,,78.3164
Captain America: Brave New World,1,,,71.9193
Interstellar,4.5,3.5,,70.6117
The Shadow's Edge,,3.5,,69.8238
Spider-Man: Across the Spider-Verse,4.5,4,,68.9236
Spider-Man: Into the Spider-Verse,5,4,,65.8491
Avengers: Endgame,4.5,3.5,,65.4836
The Dark Knight,4,4,,64.9427
War of the Worlds,3.5,0.5,,64.2874
Hoppers,3.5,3,,61.6587
The Shawshank Redemption,4,4.5,,58.1371
Inception,4,3.5,,57.3982
Captain America: Civil War,4,2,,56.4619
Lee Cronin's The Mummy,,,,56.3039
The Wild Robot,3,4,,56.1474
The Godfather,4,4,,53.7827
Deadpool & Wolverine,1.5,,,53.3976
The Lord of the Rings: The Return of the King,4.5,4,,53.3217
Jurassic World Rebirth,2.5,,,52.8488
Oppenheimer,4,3.5,,51.9976
The Fantastic 4: First Steps,3,,,51.547
Thunderbolts*,2,2.5,,50.2713
Dune: Part Two,2.5,,,50.2354
Avengers: Age of Ultron,4,3,,49.7923
Fight Club,5,4,,49.0884
Harry Potter and the Philosopher's Stone,3.5,3.5,,48.3473
Iron Man,4.5,,,46.9936
Superman,3,3.5,,46.4897
Top Gun: Maverick,3.5,4,,46.3186
The Lord of the Rings: The Fellowship of the Ring,4,3,,45.8069
KPop Demon Hunters,2,2.5,,45.7305
Citizen Vigilante,0.5,,,45.1268
Doctor Strange in the Multiverse of Madness,2,3,,45.0958
The Drama,,3.5,,45.0601
28 Years Later: The Bone Temple,4,3.5,,44.4443
The Matrix,4,4,,44.4011
Thor: Ragnarok,4,3,,42.993
The Batman,3.5,3.5,,42.7855
